iteration,reports,created,removed,peak_ues,msg3_ok,msg3_nok,failed,first_ts,last_ts,startup_s
1,12,71,58,14,6,0,0,2026-05-18T02:08:45.585601,2026-05-18T02:08:57.151956,12
2,11,69,69,14,6,0,0,2026-05-18T02:08:58.204861,2026-05-18T02:09:08.733871,12
3,12,75,75,14,6,0,0,2026-05-18T02:09:09.784263,2026-05-18T02:09:21.299623,12
4,11,69,68,14,6,0,0,2026-05-18T02:09:22.344268,2026-05-18T02:09:32.802300,12
5,12,75,75,14,6,0,0,2026-05-18T02:09:33.845935,2026-05-18T02:09:45.332593,12
6,11,69,69,14,7,0,0,2026-05-18T02:09:46.380768,2026-05-18T02:09:56.832932,12
7,12,75,75,14,7,0,0,2026-05-18T02:09:57.877372,2026-05-18T02:10:09.378574,12
8,11,68,69,14,6,0,0,2026-05-18T02:10:10.421288,2026-05-18T02:10:20.864214,12
9,12,75,75,14,6,0,0,2026-05-18T02:10:21.907759,2026-05-18T02:10:33.414590,12
10,11,69,69,14,6,0,0,2026-05-18T02:10:34.460744,2026-05-18T02:10:44.938633,12
11,12,75,75,14,6,0,0,2026-05-18T02:10:45.989306,2026-05-18T02:10:57.488973,12
12,11,69,68,14,6,0,0,2026-05-18T02:10:58.536448,2026-05-18T02:11:09.000121,12
13,12,75,75,14,6,0,0,2026-05-18T02:11:10.047482,2026-05-18T02:11:21.534096,12
14,11,69,69,14,7,0,0,2026-05-18T02:11:22.578847,2026-05-18T02:11:33.046402,12
15,11,68,69,14,6,0,0,2026-05-18T02:11:34.096878,2026-05-18T02:11:44.574765,12
16,12,75,75,14,6,0,0,2026-05-18T02:11:45.621397,2026-05-18T02:11:57.219256,12
17,11,69,69,14,6,0,0,2026-05-18T02:11:58.271712,2026-05-18T02:12:08.801200,12
18,12,75,75,14,6,0,0,2026-05-18T02:12:09.852137,2026-05-18T02:12:21.425368,12
19,11,69,68,14,6,0,0,2026-05-18T02:12:22.478049,2026-05-18T02:12:33.000266,12
20,11,69,69,14,7,0,0,2026-05-18T02:12:34.052600,2026-05-18T02:12:44.582284,12
21,12,75,75,14,7,0,0,2026-05-18T02:12:45.635011,2026-05-18T02:12:57.216060,12
22,11,68,69,14,6,0,0,2026-05-18T02:12:58.269867,2026-05-18T02:13:08.810239,12
23,12,75,75,14,6,0,0,2026-05-18T02:13:09.862045,2026-05-18T02:13:21.434822,12
24,11,69,69,14,6,0,0,2026-05-18T02:13:22.486427,2026-05-18T02:13:33.003081,12
25,11,69,68,14,6,0,0,2026-05-18T02:13:34.055497,2026-05-18T02:13:44.574544,12
26,12,75,75,14,6,0,0,2026-05-18T02:13:45.629099,2026-05-18T02:13:57.199649,12
27,11,69,69,14,7,0,0,2026-05-18T02:13:58.249305,2026-05-18T02:14:08.792365,12
28,12,75,75,14,7,0,0,2026-05-18T02:14:09.846901,2026-05-18T02:14:21.437764,12
29,11,68,69,14,6,0,0,2026-05-18T02:14:22.491752,2026-05-18T02:14:33.040070,12
30,11,69,69,14,6,0,0,2026-05-18T02:14:34.089873,2026-05-18T02:14:44.610496,12
31,12,75,75,14,6,0,0,2026-05-18T02:14:45.663191,2026-05-18T02:14:57.308581,12
32,11,69,68,14,6,0,0,2026-05-18T02:14:58.360388,2026-05-18T02:15:08.884740,12
33,12,75,75,14,6,0,0,2026-05-18T02:15:09.937110,2026-05-18T02:15:21.506981,12
34,11,69,69,14,7,0,0,2026-05-18T02:15:22.561736,2026-05-18T02:15:33.079967,12
35,11,68,69,14,6,0,0,2026-05-18T02:15:34.132191,2026-05-18T02:15:44.649162,12
36,12,75,75,14,6,0,0,2026-05-18T02:15:45.700854,2026-05-18T02:15:57.268758,12
37,11,69,69,14,6,0,0,2026-05-18T02:15:58.319831,2026-05-18T02:16:08.841569,12
38,12,75,75,14,6,0,0,2026-05-18T02:16:09.891040,2026-05-18T02:16:21.449582,12
39,11,69,68,14,6,0,0,2026-05-18T02:16:22.499225,2026-05-18T02:16:33.003898,12
40,11,69,69,14,7,0,0,2026-05-18T02:16:34.054620,2026-05-18T02:16:44.594634,12
41,12,75,75,14,7,0,0,2026-05-18T02:16:45.643003,2026-05-18T02:16:57.212200,12
42,11,68,69,14,6,0,0,2026-05-18T02:16:58.264679,2026-05-18T02:17:08.787468,12
43,12,75,75,14,6,0,0,2026-05-18T02:17:09.839282,2026-05-18T02:17:21.410292,12
44,11,69,69,14,6,0,0,2026-05-18T02:17:22.462587,2026-05-18T02:17:32.988159,12
45,11,69,68,14,6,0,0,2026-05-18T02:17:34.040501,2026-05-18T02:17:44.564057,12
46,12,75,75,14,6,0,0,2026-05-18T02:17:45.616054,2026-05-18T02:17:57.184240,12
47,11,69,69,14,7,0,0,2026-05-18T02:17:58.234595,2026-05-18T02:18:08.751916,12
48,12,75,75,14,7,0,0,2026-05-18T02:18:09.802924,2026-05-18T02:18:21.381750,12
49,11,68,69,14,6,0,0,2026-05-18T02:18:22.434562,2026-05-18T02:18:33.012725,12
50,11,69,69,14,6,0,0,2026-05-18T02:18:34.064067,2026-05-18T02:18:44.577391,12
51,12,75,75,14,6,0,0,2026-05-18T02:18:45.628805,2026-05-18T02:18:57.185533,12
52,11,69,68,14,6,0,0,2026-05-18T02:18:58.238747,2026-05-18T02:19:08.751180,12
53,12,75,75,14,6,0,0,2026-05-18T02:19:09.799791,2026-05-18T02:19:21.337954,12
54,11,69,69,14,7,0,0,2026-05-18T02:19:22.387424,2026-05-18T02:19:32.875720,12
55,12,75,75,14,7,0,0,2026-05-18T02:19:33.929407,2026-05-18T02:19:45.518145,12
56,11,68,69,14,6,0,0,2026-05-18T02:19:46.569897,2026-05-18T02:19:57.072200,12
57,11,69,69,14,6,0,0,2026-05-18T02:19:58.123236,2026-05-18T02:20:08.643758,12
58,12,75,75,14,6,0,0,2026-05-18T02:20:09.694157,2026-05-18T02:20:21.265932,12
59,11,69,68,14,6,0,0,2026-05-18T02:20:22.315588,2026-05-18T02:20:32.829798,12
60,12,75,75,14,6,0,0,2026-05-18T02:20:33.882567,2026-05-18T02:20:45.439884,12
61,11,69,69,14,7,0,0,2026-05-18T02:20:46.491457,2026-05-18T02:20:57.010523,12
62,11,68,69,14,6,0,0,2026-05-18T02:20:58.063926,2026-05-18T02:21:08.606926,12
63,12,75,75,14,6,0,0,2026-05-18T02:21:09.660878,2026-05-18T02:21:21.209511,12
64,11,69,69,14,6,0,0,2026-05-18T02:21:22.258859,2026-05-18T02:21:32.770647,12
65,12,75,75,14,6,0,0,2026-05-18T02:21:33.821805,2026-05-18T02:21:45.375850,12
66,11,69,68,14,6,0,0,2026-05-18T02:21:46.426277,2026-05-18T02:21:56.922694,12
67,12,75,75,14,6,0,0,2026-05-18T02:21:57.972088,2026-05-18T02:22:09.532900,12
68,11,69,69,14,7,0,0,2026-05-18T02:22:10.581426,2026-05-18T02:22:21.079154,12
69,11,68,69,14,6,0,0,2026-05-18T02:22:22.131449,2026-05-18T02:22:32.643832,12
70,12,75,75,14,6,0,0,2026-05-18T02:22:33.697376,2026-05-18T02:22:45.250628,12
71,11,69,69,14,6,0,0,2026-05-18T02:22:46.298991,2026-05-18T02:22:56.875249,12
72,12,75,75,14,6,0,0,2026-05-18T02:22:57.929007,2026-05-18T02:23:09.503603,12
73,11,69,68,14,6,0,0,2026-05-18T02:23:10.557369,2026-05-18T02:23:21.112890,12
74,11,69,69,14,7,0,0,2026-05-18T02:23:22.167259,2026-05-18T02:23:32.707955,12
75,12,75,75,14,7,0,0,2026-05-18T02:23:33.760790,2026-05-18T02:23:45.387850,12
76,11,68,69,14,6,0,0,2026-05-18T02:23:46.440858,2026-05-18T02:23:56.965267,12
77,11,69,69,14,6,0,0,2026-05-18T02:23:58.080638,2026-05-18T02:24:08.628709,12
78,12,75,75,14,6,0,0,2026-05-18T02:24:09.680604,2026-05-18T02:24:21.273600,12
79,11,69,68,14,6,0,0,2026-05-18T02:24:22.328026,2026-05-18T02:24:32.871377,12
80,12,75,75,14,6,0,0,2026-05-18T02:24:33.924762,2026-05-18T02:24:45.504928,12
81,11,69,69,14,7,0,0,2026-05-18T02:24:46.553399,2026-05-18T02:24:57.145216,12
82,11,68,69,14,6,0,0,2026-05-18T02:24:58.197168,2026-05-18T02:25:08.653363,12
83,12,75,75,14,6,0,0,2026-05-18T02:25:09.701109,2026-05-18T02:25:21.204995,12
84,11,69,69,14,6,0,0,2026-05-18T02:25:22.247441,2026-05-18T02:25:32.695839,12
85,12,75,75,14,6,0,0,2026-05-18T02:25:33.743929,2026-05-18T02:25:45.236923,12
86,11,69,68,14,6,0,0,2026-05-18T02:25:46.282176,2026-05-18T02:25:56.781842,12
87,12,75,75,14,6,0,0,2026-05-18T02:25:57.834198,2026-05-18T02:26:09.390090,12
88,11,69,69,14,7,0,0,2026-05-18T02:26:10.442208,2026-05-18T02:26:20.958677,12
89,12,75,75,14,7,0,0,2026-05-18T02:26:22.009794,2026-05-18T02:26:33.566801,12
90,11,68,69,14,6,0,0,2026-05-18T02:26:34.618140,2026-05-18T02:26:45.130768,12
91,11,69,69,14,6,0,0,2026-05-18T02:26:46.183176,2026-05-18T02:26:56.699765,12
92,12,75,75,14,6,0,0,2026-05-18T02:26:57.752049,2026-05-18T02:27:09.322575,12
93,11,69,68,14,6,0,0,2026-05-18T02:27:10.376292,2026-05-18T02:27:20.893240,12
94,12,75,75,14,6,0,0,2026-05-18T02:27:21.947467,2026-05-18T02:27:33.517552,12
95,11,69,69,14,7,0,0,2026-05-18T02:27:34.570466,2026-05-18T02:27:45.085366,12
96,11,68,69,14,6,0,0,2026-05-18T02:27:46.135261,2026-05-18T02:27:56.641708,12
97,12,75,75,14,6,0,0,2026-05-18T02:27:57.694814,2026-05-18T02:28:09.262727,12
98,11,69,69,14,6,0,0,2026-05-18T02:28:10.311985,2026-05-18T02:28:20.833210,12
99,12,75,75,14,6,0,0,2026-05-18T02:28:21.891286,2026-05-18T02:28:33.459540,12
100,11,69,68,14,6,0,0,2026-05-18T02:28:34.507679,2026-05-18T02:28:45.016686,12
