timestamp,pci,nof_ues,ue_created,ue_removed,msg3_ok,msg3_nok,rnti_created,rnti_removed
2026-05-17T22:43:37.081067,1,3,3,0,3,0,0x4601 0x4602 0x4603,
2026-05-17T22:43:38.127854,1,9,6,0,6,0,0x4604 0x4605 0x4606 0x4607 0x4608 0x4609,
2026-05-17T22:43:39.177848,1,13,6,2,6,0,0x460a 0x460b 0x460c 0x460d 0x460e 0x460f,0x4601 0x4602
2026-05-17T22:43:40.229822,1,13,6,6,6,0,0x4610 0x4611 0x4612 0x4613 0x4614 0x4615,0x4603 0x4604 0x4605 0x4606 0x4607 0x4608
2026-05-17T22:43:41.281546,1,14,7,6,7,0,0x4616 0x4617 0x4618 0x4619 0x461a 0x461b 0x461c,0x4609 0x460a 0x460b 0x460c 0x460d 0x460e
2026-05-17T22:43:42.328899,1,14,6,6,6,0,0x461d 0x461e 0x461f 0x4620 0x4621 0x4622,0x460f 0x4610 0x4611 0x4612 0x4613 0x4614
2026-05-17T22:43:43.378649,1,13,6,7,6,0,0x4623 0x4624 0x4625 0x4626 0x4627 0x4628,0x4615 0x4616 0x4617 0x4618 0x4619 0x461a 0x461b
2026-05-17T22:43:44.428675,1,13,6,6,6,0,0x4629 0x462a 0x462b 0x462c 0x462d 0x462e,0x461c 0x461d 0x461e 0x461f 0x4620 0x4621
2026-05-17T22:43:45.479288,1,14,7,6,7,0,0x462f 0x4630 0x4631 0x4632 0x4633 0x4634 0x4635,0x4622 0x4623 0x4624 0x4625 0x4626 0x4627
2026-05-17T22:43:46.529313,1,14,6,6,6,0,0x4636 0x4637 0x4638 0x4639 0x463a 0x463b,0x4628 0x4629 0x462a 0x462b 0x462c 0x462d
2026-05-17T22:43:47.581024,1,13,6,7,6,0,0x463c 0x463d 0x463e 0x463f 0x4640 0x4641,0x462e 0x462f 0x4630 0x4631 0x4632 0x4633 0x4634
2026-05-17T22:43:48.629316,1,13,6,6,6,0,0x4642 0x4643 0x4644 0x4645 0x4646 0x4647,0x4635 0x4636 0x4637 0x4638 0x4639 0x463a
2026-05-17T22:43:49.677270,1,14,7,6,7,0,0x4648 0x4649 0x464a 0x464b 0x464c 0x464d 0x464e,0x463b 0x463c 0x463d 0x463e 0x463f 0x4640
